season,gender,match_date,home_team,away_team,home_score,away_score,outcome,match_url,set_1_home,set_1_away,set_2_home,set_2_away,set_3_home,set_3_away,set_4_home,set_4_away,set_5_home,set_5_away
2019,women,2019-06-06,China W,Italy W,3,2,1,https://www.flashscore.com/match/Cbd4Yvqp/#/match-summary,18,25,22,25,25,23,26,24,15,13
2019,women,2019-06-06,Thailand W,Turkey W,0,3,0,https://www.flashscore.com/match/AkAxwLzT/#/match-summary,16,25,18,25,13,25,,,,
2019,women,2019-06-06,Japan W,Netherlands W,3,0,1,https://www.flashscore.com/match/tG5Yw1LM/#/match-summary,25,17,25,17,25,21,,,,
2019,women,2019-06-06,Bulgaria W,Dominican Republic W,1,3,0,https://www.flashscore.com/match/2P6Uvs6G/#/match-summary,20,25,21,25,31,29,20,25,,
2019,women,2019-06-05,USA W,Germany W,3,0,1,https://www.flashscore.com/match/K0HPuNjA/#/match-summary,25,18,25,22,25,18,,,,
2019,women,2019-06-05,South Korea W,Brazil W,0,3,0,https://www.flashscore.com/match/6cDLt3y4/#/match-summary,17,25,16,25,11,25,,,,
2019,women,2019-06-05,Belgium W,Poland W,1,3,0,https://www.flashscore.com/match/CzEHsqMc/#/match-summary,22,25,25,21,18,25,23,25,,
2019,women,2019-06-05,Russia W,Serbia W,1,3,0,https://www.flashscore.com/match/YqFDrP6i/#/match-summary,25,22,18,25,11,25,22,25,,
2019,women,2019-06-05,Netherlands W,China W,0,3,0,https://www.flashscore.com/match/Yi9xKuUj/#/match-summary,16,25,19,25,19,25,,,,
2019,women,2019-06-05,Thailand W,Dominican Republic W,2,3,0,https://www.flashscore.com/match/f1AYKLEp/#/match-summary,29,31,25,13,28,30,25,20,14,16
2019,women,2019-06-05,Italy W,Japan W,3,0,1,https://www.flashscore.com/match/xMN6P16T/#/match-summary,25,21,25,16,25,22,,,,
2019,women,2019-06-05,Bulgaria W,Turkey W,0,3,0,https://www.flashscore.com/match/OIJ2QsiN/#/match-summary,14,25,9,25,23,25,,,,
2019,women,2019-06-04,USA W,South Korea W,3,1,1,https://www.flashscore.com/match/tfUcRNyH/#/match-summary,19,25,25,15,25,22,25,18,,
2019,women,2019-06-04,Brazil W,Germany W,2,3,0,https://www.flashscore.com/match/23VgS3MA/#/match-summary,25,21,29,31,25,21,20,25,13,15
2019,women,2019-06-04,Belgium W,Russia W,3,0,1,https://www.flashscore.com/match/YTQkTq74/#/match-summary,25,22,25,20,25,22,,,,
2019,women,2019-06-04,Serbia W,Poland W,3,0,1,https://www.flashscore.com/match/fwSoUPib/#/match-summary,27,25,25,21,25,22,,,,
2019,women,2019-06-04,China W,Japan W,3,0,1,https://www.flashscore.com/match/CExsV5xh/#/match-summary,27,25,25,18,25,21,,,,
2019,women,2019-06-04,Thailand W,Bulgaria W,3,1,1,https://www.flashscore.com/match/ETJwWoNo/#/match-summary,25,27,25,20,25,22,25,22,,
2019,women,2019-06-04,Netherlands W,Italy W,1,3,0,https://www.flashscore.com/match/0QVe72po/#/match-summary,13,25,25,22,19,25,16,25,,
2019,women,2019-06-04,Dominican Republic W,Turkey W,1,3,0,https://www.flashscore.com/match/bHqUBrxU/#/match-summary,20,25,21,25,26,24,18,25,,
2019,women,2019-05-30,Serbia W,Italy W,1,3,0,https://www.flashscore.com/match/ttkPCOMN/#/match-summary,27,25,17,25,25,27,23,25,,
2019,women,2019-05-30,Brazil W,Bulgaria W,3,0,1,https://www.flashscore.com/match/2kjLD47H/#/match-summary,25,18,25,23,25,18,,,,
2019,women,2019-05-30,Dominican Republic W,USA W,3,2,1,https://www.flashscore.com/match/8SjHEphB/#/match-summary,25,10,16,25,25,19,19,25,15,11
2019,women,2019-05-30,Poland W,Netherlands W,3,1,1,https://www.flashscore.com/match/C0c8G6Nb/#/match-summary,25,13,25,27,25,20,25,15,,
2019,women,2019-05-30,Turkey W,Russia W,3,0,1,https://www.flashscore.com/match/fPnDFQx5/#/match-summary,25,19,25,21,25,20,,,,
2019,women,2019-05-30,China W,South Korea W,3,0,1,https://www.flashscore.com/match/Y9b4Hn8h/#/match-summary,25,21,25,12,25,11,,,,
2019,women,2019-05-30,Japan W,Germany W,3,0,1,https://www.flashscore.com/match/Qqa0IShn/#/match-summary,25,23,25,19,25,17,,,,
2019,women,2019-05-30,Belgium W,Thailand W,3,0,1,https://www.flashscore.com/match/ng0dJ8wt/#/match-summary,25,21,25,22,25,23,,,,
2019,women,2019-05-29,Netherlands W,Bulgaria W,3,1,1,https://www.flashscore.com/match/YBgpCiWC/#/match-summary,22,25,25,22,25,20,25,19,,
2019,women,2019-05-29,USA W,Italy W,3,2,1,https://www.flashscore.com/match/nFclBBoJ/#/match-summary,25,22,17,25,23,25,25,19,15,11
2019,women,2019-05-29,Serbia W,Dominican Republic W,3,1,1,https://www.flashscore.com/match/vkftDXG6/#/match-summary,25,17,18,25,25,12,25,19,,
2019,women,2019-05-29,Germany W,Turkey W,0,3,0,https://www.flashscore.com/match/0bexED10/#/match-summary,21,25,16,25,15,25,,,,
2019,women,2019-05-29,Poland W,Brazil W,3,2,1,https://www.flashscore.com/match/rN0XEgnf/#/match-summary,25,20,25,22,26,28,18,25,15,9
2019,women,2019-05-29,China W,Belgium W,3,0,1,https://www.flashscore.com/match/4W1TFZWm/#/match-summary,25,16,25,20,25,14,,,,
2019,women,2019-05-29,Japan W,Russia W,3,1,1,https://www.flashscore.com/match/A92PGFHs/#/match-summary,25,22,23,25,25,18,26,24,,
2019,women,2019-05-29,South Korea W,Thailand W,1,3,0,https://www.flashscore.com/match/zHBcLe9Q/#/match-summary,21,25,25,19,19,25,20,25,,
2019,women,2019-05-28,Italy W,Dominican Republic W,3,1,1,https://www.flashscore.com/match/hhMhMyfK/#/match-summary,25,18,27,25,18,25,25,20,,
2019,women,2019-05-28,Netherlands W,Brazil W,2,3,0,https://www.flashscore.com/match/E1NlNHvE/#/match-summary,25,21,28,30,20,25,25,18,11,15
2019,women,2019-05-28,USA W,Serbia W,3,1,1,https://www.flashscore.com/match/QoU6bY1D/#/match-summary,23,25,25,16,25,15,25,21,,
2019,women,2019-05-28,Bulgaria W,Poland W,1,3,0,https://www.flashscore.com/match/4Wub0fX0/#/match-summary,25,23,21,25,21,25,17,25,,
2019,women,2019-05-28,Turkey W,Japan W,0,3,0,https://www.flashscore.com/match/neV2aEn7/#/match-summary,23,25,22,25,14,25,,,,
2019,women,2019-05-28,China W,Thailand W,3,0,1,https://www.flashscore.com/match/jTyf1zIf/#/match-summary,25,21,25,17,25,9,,,,
2019,women,2019-05-28,Russia W,Germany W,0,3,0,https://www.flashscore.com/match/d6xj2G2l/#/match-summary,14,25,21,25,20,25,,,,
2019,women,2019-05-28,Belgium W,South Korea W,0,3,0,https://www.flashscore.com/match/IFwn3dmr/#/match-summary,15,25,17,25,21,25,,,,
2019,women,2019-05-23,Brazil W,Russia W,3,0,1,https://www.flashscore.com/match/SzKR7xuR/#/match-summary,25,15,25,17,25,14,,,,
2019,women,2019-05-23,China W,Dominican Republic W,3,1,1,https://www.flashscore.com/match/lpLN8IPK/#/match-summary,16,25,25,23,25,23,25,23,,
2019,women,2019-05-23,Thailand W,Poland W,0,3,0,https://www.flashscore.com/match/fNLJ9bAE/#/match-summary,20,25,20,25,13,25,,,,
2019,women,2019-05-23,Turkey W,Serbia W,3,0,1,https://www.flashscore.com/match/tKHFAve8/#/match-summary,25,19,25,23,25,20,,,,
2019,women,2019-05-23,USA W,Bulgaria W,3,0,1,https://www.flashscore.com/match/vFwXoeI7/#/match-summary,25,20,25,16,25,21,,,,
2019,women,2019-05-23,Italy W,Germany W,3,0,1,https://www.flashscore.com/match/0OvTny31/#/match-summary,25,19,26,24,27,25,,,,
2019,women,2019-05-23,Netherlands W,South Korea W,3,0,1,https://www.flashscore.com/match/WlzPmHme/#/match-summary,25,18,25,21,25,18,,,,
2019,women,2019-05-23,Belgium W,Japan W,3,1,1,https://www.flashscore.com/match/hbyLlcYl/#/match-summary,22,25,25,20,25,23,25,18,,
2019,women,2019-05-22,Brazil W,Dominican Republic W,1,3,0,https://www.flashscore.com/match/AZoGkwJr/#/match-summary,22,25,20,25,25,22,26,28,,
