season,gender,match_date,home_team,away_team,home_score,away_score,outcome,match_url,set_1_home,set_1_away,set_2_home,set_2_away,set_3_home,set_3_away,set_4_home,set_4_away,set_5_home,set_5_away
2018,women,2018-06-05,Japan W,Turkey W,1,3,0,https://www.flashscore.com/match/4bIFhds1/#/match-summary,17,25,23,25,25,13,11.0,25.0,,
2018,women,2018-06-05,Russia W,USA W,0,3,0,https://www.flashscore.com/match/WjVS10KE/#/match-summary,14,25,18,25,18,25,,,,
2018,women,2018-05-31,Turkey W,Serbia W,2,3,0,https://www.flashscore.com/match/A1QAxpi3/#/match-summary,20,25,25,22,25,18,23.0,25.0,12.0,15.0
2018,women,2018-05-31,Netherlands W,Brazil W,1,3,0,https://www.flashscore.com/match/KWclLrMS/#/match-summary,23,25,24,26,25,13,22.0,25.0,,
2018,women,2018-05-31,Russia W,Belgium W,3,1,1,https://www.flashscore.com/match/SxLFy469/#/match-summary,25,21,25,20,23,25,25.0,18.0,,
2018,women,2018-05-31,South Korea W,Poland W,0,3,0,https://www.flashscore.com/match/QeqoMO6M/#/match-summary,11,25,15,25,16,25,,,,
2018,women,2018-05-31,China W,Italy W,1,3,0,https://www.flashscore.com/match/YeabnLKR/#/match-summary,18,25,14,25,25,16,18.0,25.0,,
2018,women,2018-05-31,Thailand W,USA W,0,3,0,https://www.flashscore.com/match/QX22SaTe/#/match-summary,10,25,22,25,16,25,,,,
2018,women,2018-05-31,Japan W,Argentina W,3,0,1,https://www.flashscore.com/match/hpr1m15L/#/match-summary,25,16,25,21,25,21,,,,
2018,women,2018-05-31,Dominican Republic W,Germany W,1,3,0,https://www.flashscore.com/match/dbbbTuEk/#/match-summary,22,25,15,25,25,21,12.0,25.0,,
2018,women,2018-05-30,Belgium W,Serbia W,0,3,0,https://www.flashscore.com/match/I7wPEtad/#/match-summary,20,25,16,25,14,25,,,,
2018,women,2018-05-30,Netherlands W,South Korea W,3,0,1,https://www.flashscore.com/match/n5psN4iG/#/match-summary,25,18,25,10,25,12,,,,
2018,women,2018-05-30,Turkey W,Russia W,2,3,0,https://www.flashscore.com/match/WAR6wQyc/#/match-summary,23,25,25,19,25,23,20.0,25.0,11.0,15.0
2018,women,2018-05-30,Poland W,Brazil W,0,3,0,https://www.flashscore.com/match/4texOpxA/#/match-summary,20,25,20,25,23,25,,,,
2018,women,2018-05-30,China W,Japan W,3,0,1,https://www.flashscore.com/match/4O16RJr2/#/match-summary,25,21,25,19,25,17,,,,
2018,women,2018-05-30,Thailand W,Germany W,2,3,0,https://www.flashscore.com/match/I7afULbq/#/match-summary,23,25,26,28,25,23,25.0,22.0,10.0,15.0
2018,women,2018-05-30,Argentina W,Italy W,0,3,0,https://www.flashscore.com/match/6Tukj3L2/#/match-summary,15,25,16,25,18,25,,,,
2018,women,2018-05-30,Dominican Republic W,USA W,0,3,0,https://www.flashscore.com/match/CQMRY1jS/#/match-summary,20,25,23,25,21,25,,,,
2018,women,2018-05-29,Serbia W,Russia W,3,0,1,https://www.flashscore.com/match/MupGG2Uq/#/match-summary,25,23,25,19,25,18,,,,
2018,women,2018-05-29,Netherlands W,Poland W,3,0,1,https://www.flashscore.com/match/jwiYOQM3/#/match-summary,25,22,25,22,27,25,,,,
2018,women,2018-05-29,Belgium W,Turkey W,0,3,0,https://www.flashscore.com/match/44ZKFMqj/#/match-summary,19,25,18,25,24,26,,,,
2018,women,2018-05-29,South Korea W,Brazil W,1,3,0,https://www.flashscore.com/match/dGiUP67c/#/match-summary,11,25,14,25,33,31,20.0,25.0,,
2018,women,2018-05-29,China W,Argentina W,3,0,1,https://www.flashscore.com/match/EgqclsjF/#/match-summary,25,22,25,16,25,12,,,,
2018,women,2018-05-29,Thailand W,Dominican Republic W,0,3,0,https://www.flashscore.com/match/0jJNZsyM/#/match-summary,21,25,22,25,20,25,,,,
2018,women,2018-05-29,Japan W,Italy W,3,2,1,https://www.flashscore.com/match/KWqgkNz9/#/match-summary,20,25,25,23,20,25,25.0,23.0,15.0,11.0
2018,women,2018-05-29,Germany W,USA W,0,3,0,https://www.flashscore.com/match/6TJJzOLF/#/match-summary,18,25,17,25,17,25,,,,
2018,women,2018-05-24,Turkey W,Argentina W,3,0,1,https://www.flashscore.com/match/GMg1MX05/#/match-summary,25,16,25,16,25,19,,,,
2018,women,2018-05-24,China W,Serbia W,1,3,0,https://www.flashscore.com/match/8djgOgWh/#/match-summary,25,21,23,25,21,25,17.0,25.0,,
2018,women,2018-05-24,Dominican Republic W,Brazil W,0,3,0,https://www.flashscore.com/match/boq6LiGB/#/match-summary,20,25,10,25,13,25,,,,
2018,women,2018-05-24,Japan W,Netherlands W,0,3,0,https://www.flashscore.com/match/b1PrII9J/#/match-summary,18,25,18,25,21,25,,,,
2018,women,2018-05-24,South Korea W,Italy W,0,3,0,https://www.flashscore.com/match/IRNW6h1I/#/match-summary,17,25,21,25,21,25,,,,
2018,women,2018-05-24,Poland W,Thailand W,2,3,0,https://www.flashscore.com/match/xWfcNDoa/#/match-summary,22,25,25,21,23,25,25.0,21.0,14.0,16.0
2018,women,2018-05-24,Germany W,Russia W,1,3,0,https://www.flashscore.com/match/xG6Z7YoC/#/match-summary,25,19,21,25,15,25,23.0,25.0,,
2018,women,2018-05-24,Belgium W,USA W,0,3,0,https://www.flashscore.com/match/ddo0gZWI/#/match-summary,11,25,18,25,17,25,,,,
2018,women,2018-05-23,Turkey W,Dominican Republic W,3,1,1,https://www.flashscore.com/match/ALnAKBVH/#/match-summary,25,20,17,25,25,20,25.0,19.0,,
2018,women,2018-05-23,China W,Thailand W,3,1,1,https://www.flashscore.com/match/dIMz6CGO/#/match-summary,25,23,26,24,22,25,25.0,17.0,,
