season,gender,match_date,home_team,away_team,home_score,away_score,outcome,set_1_home,set_1_away,set_2_home,set_2_away,set_3_home,set_3_away,set_4_home,set_4_away,set_5_home,set_5_away,match_url
2023,women,2023-06-03,USA,South Korea,3,0,1,25,16,27,25,25,11,,,,,https://www.flashscore.com/match/KrSNbA3Q/#/match-summary
2023,women,2023-06-03,Poland,Serbia,3,0,1,25,18,25,22,30,28,,,,,https://www.flashscore.com/match/j9NJajlK/#/match-summary
2023,women,2023-06-03,Bulgaria,Japan,0,3,0,20,25,17,25,19,25,,,,,https://www.flashscore.com/match/CIOF0WYD/#/match-summary
2023,women,2023-06-03,China,Netherlands,3,1,1,27,25,23,25,25,22,25,20,,,https://www.flashscore.com/match/ADpXymdD/#/match-summary
2023,women,2023-06-03,Brazil,Dominican Republic,3,1,1,27,25,20,25,25,21,27,25,,,https://www.flashscore.com/match/CSRTxTt7/#/match-summary
2023,women,2023-06-02,USA,Italy,3,2,1,25,16,14,25,22,25,25,20,15,9,https://www.flashscore.com/match/I5SPw9R0/#/match-summary
2023,women,2023-06-02,Canada,South Korea,3,0,1,25,17,25,16,25,18,,,,,https://www.flashscore.com/match/vFTLvkCf/#/match-summary
2023,women,2023-06-02,Thailand,Poland,0,3,0,20,25,16,25,15,25,,,,,https://www.flashscore.com/match/MwZGuVdl/#/match-summary
2023,women,2023-06-02,Croatia,Japan,0,3,0,17,25,19,25,20,25,,,,,https://www.flashscore.com/match/rmzDtBsr/#/match-summary
2023,women,2023-06-02,Dominican Republic,Netherlands,3,2,1,25,18,22,25,25,18,21,25,15,11,https://www.flashscore.com/match/Q7mooiZQ/#/match-summary
2023,women,2023-06-02,China,Germany,3,0,1,25,19,25,20,25,22,,,,,https://www.flashscore.com/match/C4qsnXJK/#/match-summary
2023,women,2023-06-01,Turkey,Serbia,3,1,1,24,26,25,17,25,15,25,21,,,https://www.flashscore.com/match/UufxmD4E/#/match-summary
2023,women,2023-06-01,Poland,Italy,3,1,1,21,25,25,20,25,14,25,18,,,https://www.flashscore.com/match/jkeYmgk8/#/match-summary
2023,women,2023-06-01,Canada,Thailand,0,3,0,17,25,24,26,21,25,,,,,https://www.flashscore.com/match/Or7jP9C7/#/match-summary
2023,women,2023-06-01,Brazil,Netherlands,3,0,1,25,23,25,23,25,21,,,,,https://www.flashscore.com/match/ph8nQkc1/#/match-summary
2023,women,2023-06-01,Bulgaria,Dominican Republic,2,3,0,25,22,16,25,25,16,14,25,11,15,https://www.flashscore.com/match/2TIsRVse/#/match-summary
2023,women,2023-06-01,Croatia,Germany,0,3,0,18,25,23,25,23,25,,,,,https://www.flashscore.com/match/lQEwSBSl/#/match-summary
2023,women,2023-05-31,South Korea,Turkey,0,3,0,14,25,17,25,24,26,,,,,https://www.flashscore.com/match/f3FZSiDr/#/match-summary
2023,women,2023-05-31,Serbia,USA,2,3,0,20,25,25,19,25,21,21,25,12,15,https://www.flashscore.com/match/Iwh6pKrG/#/match-summary
2023,women,2023-05-31,China,Brazil,3,2,1,25,23,22,25,25,20,20,25,15,12,https://www.flashscore.com/match/02c1o0T9/#/match-summary
2023,women,2023-05-31,Croatia,Bulgaria,0,3,0,12,25,17,25,19,25,,,,,https://www.flashscore.com/match/MBbcntE3/#/match-summary
2023,women,2023-05-30,Poland,Canada,3,2,1,20,25,25,23,20,25,25,23,15,13,https://www.flashscore.com/match/SlagmMbc/#/match-summary
2023,women,2023-05-30,Italy,Thailand,3,2,1,24,26,25,17,27,29,30,28,15,11,https://www.flashscore.com/match/GEekl2qi/#/match-summary
2023,women,2023-05-30,Japan,Dominican Republic,3,1,1,25,23,25,18,22,25,25,15,,,https://www.flashscore.com/match/E9H6PI6j/#/match-summary
2023,women,2023-05-30,Germany,Netherlands,3,1,1,25,21,25,22,20,25,25,22,,,https://www.flashscore.com/match/zJI2Qbip/#/match-summary
