season,gender,match_date,home_team,away_team,home_score,away_score,outcome,set_1_home,set_1_away,set_2_home,set_2_away,set_3_home,set_3_away,set_4_home,set_4_away,set_5_home,set_5_away,match_url
2018,women,2018-06-05,Thailand,South Korea,1,3,0,16,25,18,25,25,20,24.0,26.0,,,https://www.flashscore.com/match/bLHJiGd7/#/match-summary
2018,women,2018-06-05,Japan,Turkey,1,3,0,17,25,23,25,25,13,11.0,25.0,,,https://www.flashscore.com/match/4bIFhds1/#/match-summary
2018,women,2018-06-05,Russia,USA,0,3,0,14,25,18,25,18,25,,,,,https://www.flashscore.com/match/WjVS10KE/#/match-summary
2018,women,2018-05-31,Turkey,Serbia,2,3,0,20,25,25,22,25,18,23.0,25.0,12.0,15.0,https://www.flashscore.com/match/A1QAxpi3/#/match-summary
2018,women,2018-05-31,Netherlands,Brazil,1,3,0,23,25,24,26,25,13,22.0,25.0,,,https://www.flashscore.com/match/KWclLrMS/#/match-summary
2018,women,2018-05-31,Russia,Belgium,3,1,1,25,21,25,20,23,25,25.0,18.0,,,https://www.flashscore.com/match/SxLFy469/#/match-summary
2018,women,2018-05-31,South Korea,Poland,0,3,0,11,25,15,25,16,25,,,,,https://www.flashscore.com/match/QeqoMO6M/#/match-summary
2018,women,2018-05-31,China,Italy,1,3,0,18,25,14,25,25,16,18.0,25.0,,,https://www.flashscore.com/match/YeabnLKR/#/match-summary
2018,women,2018-05-31,Thailand,USA,0,3,0,10,25,22,25,16,25,,,,,https://www.flashscore.com/match/QX22SaTe/#/match-summary
2018,women,2018-05-31,Japan,Argentina,3,0,1,25,16,25,21,25,21,,,,,https://www.flashscore.com/match/hpr1m15L/#/match-summary
2018,women,2018-05-31,Dominican Republic,Germany,1,3,0,22,25,15,25,25,21,12.0,25.0,,,https://www.flashscore.com/match/dbbbTuEk/#/match-summary
2018,women,2018-05-30,Belgium,Serbia,0,3,0,20,25,16,25,14,25,,,,,https://www.flashscore.com/match/I7wPEtad/#/match-summary
2018,women,2018-05-30,Netherlands,South Korea,3,0,1,25,18,25,10,25,12,,,,,https://www.flashscore.com/match/n5psN4iG/#/match-summary
2018,women,2018-05-30,Turkey,Russia,2,3,0,23,25,25,19,25,23,20.0,25.0,11.0,15.0,https://www.flashscore.com/match/WAR6wQyc/#/match-summary
2018,women,2018-05-30,Poland,Brazil,0,3,0,20,25,20,25,23,25,,,,,https://www.flashscore.com/match/4texOpxA/#/match-summary
2018,women,2018-05-30,China,Japan,3,0,1,25,21,25,19,25,17,,,,,https://www.flashscore.com/match/4O16RJr2/#/match-summary
2018,women,2018-05-30,Thailand,Germany,2,3,0,23,25,26,28,25,23,25.0,22.0,10.0,15.0,https://www.flashscore.com/match/I7afULbq/#/match-summary
2018,women,2018-05-30,Argentina,Italy,0,3,0,15,25,16,25,18,25,,,,,https://www.flashscore.com/match/6Tukj3L2/#/match-summary
2018,women,2018-05-30,Dominican Republic,USA,0,3,0,20,25,23,25,21,25,,,,,https://www.flashscore.com/match/CQMRY1jS/#/match-summary
2018,women,2018-05-29,Serbia,Russia,3,0,1,25,23,25,19,25,18,,,,,https://www.flashscore.com/match/MupGG2Uq/#/match-summary
2018,women,2018-05-29,Netherlands,Poland,3,0,1,25,22,25,22,27,25,,,,,https://www.flashscore.com/match/jwiYOQM3/#/match-summary
2018,women,2018-05-29,Belgium,Turkey,0,3,0,19,25,18,25,24,26,,,,,https://www.flashscore.com/match/44ZKFMqj/#/match-summary
2018,women,2018-05-29,South Korea,Brazil,1,3,0,11,25,14,25,33,31,20.0,25.0,,,https://www.flashscore.com/match/dGiUP67c/#/match-summary
2018,women,2018-05-29,China,Argentina,3,0,1,25,22,25,16,25,12,,,,,https://www.flashscore.com/match/EgqclsjF/#/match-summary
2018,women,2018-05-29,Thailand,Dominican Republic,0,3,0,21,25,22,25,20,25,,,,,https://www.flashscore.com/match/0jJNZsyM/#/match-summary
2018,women,2018-05-29,Japan,Italy,3,2,1,20,25,25,23,20,25,25.0,23.0,15.0,11.0,https://www.flashscore.com/match/KWqgkNz9/#/match-summary
2018,women,2018-05-29,Germany,USA,0,3,0,18,25,17,25,17,25,,,,,https://www.flashscore.com/match/6TJJzOLF/#/match-summary
2018,women,2018-05-24,Turkey,Argentina,3,0,1,25,16,25,16,25,19,,,,,https://www.flashscore.com/match/GMg1MX05/#/match-summary
2018,women,2018-05-24,China,Serbia,1,3,0,25,21,23,25,21,25,17.0,25.0,,,https://www.flashscore.com/match/8djgOgWh/#/match-summary
2018,women,2018-05-24,Dominican Republic,Brazil,0,3,0,20,25,10,25,13,25,,,,,https://www.flashscore.com/match/boq6LiGB/#/match-summary
2018,women,2018-05-24,Japan,Netherlands,0,3,0,18,25,18,25,21,25,,,,,https://www.flashscore.com/match/b1PrII9J/#/match-summary
2018,women,2018-05-24,South Korea,Italy,0,3,0,17,25,21,25,21,25,,,,,https://www.flashscore.com/match/IRNW6h1I/#/match-summary
2018,women,2018-05-24,Poland,Thailand,2,3,0,22,25,25,21,23,25,25.0,21.0,14.0,16.0,https://www.flashscore.com/match/xWfcNDoa/#/match-summary
2018,women,2018-05-24,Germany,Russia,1,3,0,25,19,21,25,15,25,23.0,25.0,,,https://www.flashscore.com/match/xG6Z7YoC/#/match-summary
2018,women,2018-05-24,Belgium,USA,0,3,0,11,25,18,25,17,25,,,,,https://www.flashscore.com/match/ddo0gZWI/#/match-summary
2018,women,2018-05-23,Turkey,Dominican Republic,3,1,1,25,20,17,25,25,20,25.0,19.0,,,https://www.flashscore.com/match/ALnAKBVH/#/match-summary
2018,women,2018-05-23,China,Thailand,3,1,1,25,23,26,24,22,25,25.0,17.0,,,https://www.flashscore.com/match/dIMz6CGO/#/match-summary
2018,women,2018-05-23,Brazil,Argentina,3,0,1,25,9,25,21,25,14,,,,,https://www.flashscore.com/match/2HAw3q0p/#/match-summary
2018,women,2018-05-23,Japan,Belgium,3,0,1,25,19,25,20,25,19,,,,,https://www.flashscore.com/match/xhOnHxPP/#/match-summary
2018,women,2018-05-23,South Korea,Russia,3,0,1,25,19,25,14,25,17,,,,,https://www.flashscore.com/match/428R9fHa/#/match-summary
2018,women,2018-05-23,Poland,Serbia,1,3,0,25,20,25,27,24,26,15.0,25.0,,,https://www.flashscore.com/match/ALAIUegP/#/match-summary
2018,women,2018-05-23,Italy,Germany,3,0,1,25,22,25,18,25,20,,,,,https://www.flashscore.com/match/bP7V8EW5/#/match-summary
2018,women,2018-05-23,Netherlands,USA,0,3,0,19,25,21,25,23,25,,,,,https://www.flashscore.com/match/UqGECdXt/#/match-summary
2018,women,2018-05-22,Turkey,Brazil,1,3,0,17,25,19,25,25,23,21.0,25.0,,,https://www.flashscore.com/match/t89s23Fj/#/match-summary
2018,women,2018-05-22,China,Poland,2,3,0,25,18,17,25,18,25,25.0,22.0,12.0,15.0,https://www.flashscore.com/match/ns2pQF1t/#/match-summary
2018,women,2018-05-22,Argentina,Dominican Republic,0,3,0,24,26,24,26,19,25,,,,,https://www.flashscore.com/match/IPhQQnhi/#/match-summary
2018,women,2018-05-22,Japan,USA,0,3,0,20,25,16,25,23,25,,,,,https://www.flashscore.com/match/bBSdfFHC/#/match-summary
2018,women,2018-05-22,South Korea,Germany,3,1,1,23,25,26,24,25,16,25.0,16.0,,,https://www.flashscore.com/match/ja4NAz2g/#/match-summary
2018,women,2018-05-22,Thailand,Serbia,1,3,0,18,25,23,25,25,19,19.0,25.0,,,https://www.flashscore.com/match/U5ikPZGn/#/match-summary
2018,women,2018-05-22,Belgium,Netherlands,2,3,0,25,21,19,25,25,23,29.0,31.0,10.0,15.0,https://www.flashscore.com/match/4lThee26/#/match-summary
2018,women,2018-05-22,Italy,Russia,0,3,0,24,26,12,25,23,25,,,,,https://www.flashscore.com/match/8zFIBGnm/#/match-summary
2018,women,2018-05-17,USA,Italy,3,0,1,25,21,25,18,25,21,,,,,https://www.flashscore.com/match/xYe15uQD/#/match-summary
2018,women,2018-05-17,Turkey,Poland,3,0,1,25,21,25,17,25,23,,,,,https://www.flashscore.com/match/AR7JtdmD/#/match-summary
2019,women,2019-07-07,Brazil,USA,2,3,0,25,20,25,22,15,25,21.0,25.0,13.0,15.0,https://www.flashscore.com/match/2DCd8IT8/#/match-summary
2019,women,2019-07-07,Turkey,China,1,3,0,23,25,15,25,25,20,21.0,25.0,,,https://www.flashscore.com/match/dlRa7xqF/#/match-summary
2019,women,2019-07-06,USA,China,3,1,1,25,11,15,25,25,17,25.0,20.0,,,https://www.flashscore.com/match/2Rc3g5bj/#/match-summary
2019,women,2019-07-06,Turkey,Brazil,0,3,0,23,25,15,25,10,25,,,,,https://www.flashscore.com/match/KOcETruR/#/match-summary
2019,women,2019-07-05,China,Italy,3,1,1,25,17,25,22,22,25,25.0,22.0,,,https://www.flashscore.com/match/jmGnd2Jc/#/match-summary
2019,women,2019-07-05,USA,Brazil,3,1,1,25,18,25,19,20,25,25.0,21.0,,,https://www.flashscore.com/match/tx9ag03G/#/match-summary
2019,women,2019-07-04,Italy,Turkey,0,3,0,21,25,15,25,21,25,,,,,https://www.flashscore.com/match/xpCrcr4i/#/match-summary
2019,women,2019-07-04,Brazil,Poland,3,2,1,22,25,25,21,22,25,25.0,19.0,15.0,10.0,https://www.flashscore.com/match/C24eftlA/#/match-summary
2019,women,2019-07-03,China,Turkey,1,3,0,22,25,19,25,25,22,22.0,25.0,,,https://www.flashscore.com/match/OtO0YbRj/#/match-summary
2019,women,2019-07-03,USA,Poland,3,1,1,21,25,25,16,25,15,26.0,24.0,,,https://www.flashscore.com/match/YB5ieMY3/#/match-summary
2019,women,2019-06-20,Turkey,Brazil,3,2,1,25,23,24,26,25,20,23.0,25.0,16.0,14.0,https://www.flashscore.com/match/UwRc1kzo/#/match-summary
2019,women,2019-06-20,Russia,Netherlands,0,3,0,12,25,25,27,17,25,,,,,https://www.flashscore.com/match/SUvW5VRT/#/match-summary
2019,women,2019-06-20,Belgium,Italy,3,2,1,12,25,25,20,16,25,25.0,14.0,15.0,10.0,https://www.flashscore.com/match/Y7uS6BCN/#/match-summary
2019,women,2019-06-20,China,Serbia,3,0,1,25,16,25,17,25,17,,,,,https://www.flashscore.com/match/K4yO7icH/#/match-summary
2019,women,2019-06-20,Thailand,USA,0,3,0,13,25,20,25,17,25,,,,,https://www.flashscore.com/match/xtnJ8XsB/#/match-summary
2019,women,2019-06-20,Germany,Bulgaria,3,0,1,25,21,25,20,25,13,,,,,https://www.flashscore.com/match/jPmBAgDb/#/match-summary
2019,women,2019-06-20,South Korea,Poland,3,1,1,25,8,22,25,25,20,25.0,16.0,,,https://www.flashscore.com/match/bkmF9DS4/#/match-summary
2019,women,2019-06-20,Japan,Dominican Republic,2,3,0,17,25,23,25,26,24,28.0,26.0,10.0,15.0,https://www.flashscore.com/match/CYl7BZch/#/match-summary
